#libraryId	experimentId	speciesId	organism	genomeFilePath	database	platform	libraryType	libraryInfo	readLength	runIds
SRX085219	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	SINGLE	NA	36	SRR316754
SRX085220	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	SINGLE	NA	36	SRR316755,SRR316756
SRX092371	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	PAIRED	NA	152	SRR332923
SRX092372	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR332924
SRX092477	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	PAIRED	NA	152	SRR332921
SRX092478	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR332922,SRR478539
SRX092479	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR332926,SRR332927
SRX092480	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina Genome Analyzer II	PAIRED	NA	152	SRR332925
SRX099973	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR350987,SRR350988
SRX099974	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	101	SRR350989
SRX099975	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR350990,SRR350991
SRX099976	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	100	SRR350993
SRX099977	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	101	SRR350992
SRX099978	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR350994,SRR350995,SRR350996
SRX099979	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR350997,SRR350998,SRR350999
SRX099980	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351000,SRR351001
SRX099981	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351002,SRR351003
SRX099982	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351004,SRR351005,SRR478540
SRX099983	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	100	SRR351006
SRX099984	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351007,SRR351008
SRX099985	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351009
SRX099986	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351010,SRR351011
SRX099987	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	101	SRR351012
SRX099988	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351013,SRR351014
SRX099989	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	100	SRR351016
SRX099990	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	101	SRR351015
SRX099991	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351017,SRR351018
SRX099992	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	100	SRR351020
SRX099993	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	101	SRR351019
SRX099994	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351021,SRR351022
SRX099995	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351023,SRR351024
SRX099996	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351025,SRR351026,SRR351027
SRX099997	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	100	SRR351029
SRX099998	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	101	SRR351028
SRX099999	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351030,SRR351031
SRX100001	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	101	SRR351032
SRX100002	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351034,SRR351035
SRX100003	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351036,SRR351037
SRX100004	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	100	SRR351039
SRX100005	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	SINGLE	NA	101	SRR351038
SRX100006	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR351040,SRR351041
SRX100819	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR352279,SRR352280
SRX1020630	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2012769,SRR2012770,SRR2012771
SRX1020631	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2012768
SRX1020632	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2012775,SRR2012776,SRR2012777
SRX1020633	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2012774
SRX1020634	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2012779,SRR2012780,SRR2012781
SRX1020635	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2012778
SRX1020636	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2012783,SRR2012784,SRR2012785
SRX1020637	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2012782
SRX1020638	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2012787,SRR2012788,SRR2012789
SRX1020639	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2012786
SRX1020640	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2012791,SRR2012792,SRR2012793
SRX1020641	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2012790
SRX1022566	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015247,SRR2015248,SRR2015249
SRX1022567	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015246
SRX1022568	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015251,SRR2015252,SRR2015253
SRX1022569	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015250
SRX1022570	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015255,SRR2015256,SRR2015257
SRX1022571	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015254
SRX1022572	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015260,SRR2015261,SRR2015262
SRX1022573	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015259
SRX1022574	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015264,SRR2015265,SRR2015266
SRX1022575	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015263
SRX1022576	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015268,SRR2015269,SRR2015270
SRX1022577	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015267
SRX1022578	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015272,SRR2015273,SRR2015274
SRX1022579	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015271
SRX1022580	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015276,SRR2015277,SRR2015278
SRX1022581	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015275
SRX1022582	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015280,SRR2015281,SRR2015282
SRX1022583	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015279
SRX1022584	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015284,SRR2015285,SRR2015286
SRX1022585	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015283
SRX1022586	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015288,SRR2015289,SRR2015290
SRX1022587	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015287
SRX1022588	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015292,SRR2015293,SRR2015294
SRX1022589	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015291
SRX1022592	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015298,SRR2015299,SRR2015300
SRX1022593	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015297
SRX1022595	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015303,SRR2015304,SRR2015305
SRX1022596	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015302
SRX1022597	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015307,SRR2015308,SRR2015309
SRX1022598	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina MiSeq	SINGLE	NA	50	SRR2015306
SRX1022599	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015310,SRR2015311
SRX1022600	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015312,SRR2015313
SRX1022601	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015314,SRR2015315
SRX1022602	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015316,SRR2015317
SRX1022603	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015318,SRR2015319
SRX1022604	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015320,SRR2015321
SRX1022605	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015322,SRR2015323
SRX1022607	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015324,SRR2015325
SRX1022608	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015326,SRR2015327
SRX1022609	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015328,SRR2015329
SRX1022610	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015330,SRR2015331
SRX1022611	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015332,SRR2015333
SRX1022645	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015473,SRR2015474
SRX1022646	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015475,SRR2015476
SRX1022647	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015477,SRR2015478
SRX1022648	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015479,SRR2015480
SRX1022649	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015481,SRR2015482
SRX1022650	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015483,SRR2015484
SRX1022651	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015485,SRR2015486
SRX1022652	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015487,SRR2015488
SRX1022653	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015489,SRR2015490
SRX1022654	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	200	SRR2015491,SRR2015492
SRX103649	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359063
SRX103650	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359065
SRX103651	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359066
SRX103652	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359067
SRX103653	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359069
SRX103669	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359087
SRX103670	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359088
SRX103671	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359089
SRX103672	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359090
SRX103673	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359091
SRX103677	SRP000401	6239	Caenorhabditis elegans	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	Ensembl	Illumina HiSeq 2000	PAIRED	NA	202	SRR359094
ERX2156389	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	100	ERR2099027
ERX2156390	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	100	ERR2099028
ERX2156391	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	100	ERR2099029
ERX2156955	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	125	ERR2099593
ERX2156956	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	125	ERR2099594
ERX2156957	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	125	ERR2099595
ERX2159569	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	100	ERR2102258
ERX2159570	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	100	ERR2102259
ERX2159571	ERP024551	7227	Drosophila melanogaster	drosophila_melanogaster/Drosophila_melanogaster.BDGP6.28	Ensembl	Illumina HiSeq 2500	PAIRED	NA	100	ERR2102260
