sample_accession	experiment_id	library_id	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp	source
SAMEA5694103	ERP115651	ERX3382893	ERR3358386	362853868	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358386/4861STDY7135916.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358386/4861STDY7135916.bam.bai	EBI
SAMEA5694104	ERP115651	ERX3382894	ERR3358387	364292009	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358387/4861STDY7135917.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358387/4861STDY7135917.bam.bai	EBI
SAMEA5694105	ERP115651	ERX3382895	ERR3358388	478380740	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358388/4861STDY7135918.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358388/4861STDY7135918.bam.bai	EBI
SAMEA5694106	ERP115651	ERX3382896	ERR3358389	390267448	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358389/4861STDY7208410.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358389/4861STDY7208410.bam.bai	EBI
SAMEA5694107	ERP115651	ERX3382897	ERR3358390	403784286	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358390/4861STDY7208411.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358390/4861STDY7208411.bam.bai	EBI
SAMEA5694108	ERP115651	ERX3382898	ERR3358391	371492553	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358391/4861STDY7208412.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358391/4861STDY7208412.bam.bai	EBI
SAMEA5694109	ERP115651	ERX3382899	ERR3358392	356450578	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358392/4861STDY7208413.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358392/4861STDY7208413.bam.bai	EBI
SAMEA5694110	ERP115651	ERX3382900	ERR3358393	368552013	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358393/4861STDY7208414.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358393/4861STDY7208414.bam.bai	EBI
SAMEA5694111	ERP115651	ERX3382901	ERR3358394	356632513	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358394/4861STDY7208415.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358394/4861STDY7208415.bam.bai	EBI
SAMEA5694112	ERP115651	ERX3382902	ERR3358395	353834533	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358395/4861STDY7208416.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358395/4861STDY7208416.bam.bai	EBI
SAMEA5694113	ERP115651	ERX3382903	ERR3358396	386059476	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358396/4861STDY7208417.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358396/4861STDY7208417.bam.bai	EBI
SAMEA5694114	ERP115651	ERX3382904	ERR3358397	291568757	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358397/Human_colon_16S7255675.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358397/Human_colon_16S7255675.bam.bai	EBI
SAMEA5694115	ERP115651	ERX3382905	ERR3358398	311881171	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358398/Human_colon_16S7255676.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358398/Human_colon_16S7255676.bam.bai	EBI
SAMEA5694116	ERP115651	ERX3382906	ERR3358399	419013472	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358399/Human_colon_16S7255677.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358399/Human_colon_16S7255677.bam.bai	EBI
SAMEA5694117	ERP115651	ERX3382907	ERR3358400	376951439	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358400/Human_colon_16S7255678.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358400/Human_colon_16S7255678.bam.bai	EBI
SAMEA5694118	ERP115651	ERX3382908	ERR3358401	198312302	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358401/Human_colon_16S7255679.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358401/Human_colon_16S7255679.bam.bai	EBI
SAMEA5694119	ERP115651	ERX3382909	ERR3358402	350795984	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358402/Human_colon_16S7255680.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358402/Human_colon_16S7255680.bam.bai	EBI
SAMEA5694120	ERP115651	ERX3382910	ERR3358403	311829252	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358403/Human_colon_16S7255681.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358403/Human_colon_16S7255681.bam.bai	EBI
SAMEA5694121	ERP115651	ERX3382911	ERR3358404	322885605	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358404/Human_colon_16S7255682.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR335/ERR3358404/Human_colon_16S7255682.bam.bai	EBI
SAMEA6060644	ERP117745	ERX3581434	ERR3585492	784726887	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585492/4834STDY7002875.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585492/4834STDY7002875.bam.bai	SRA
SAMEA6060646	ERP117745	ERX3581436	ERR3585494	747143448	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585494/4834STDY7002877.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585494/4834STDY7002877.bam.bai	SRA
SAMEA6060647	ERP117745	ERX3581437	ERR3585495	755704229	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585495/4834STDY7002878.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585495/4834STDY7002878.bam.bai	SRA
SAMEA6060648	ERP117745	ERX3581438	ERR3585496	633403448	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585496/4834STDY7002879.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585496/4834STDY7002879.bam.bai	SRA
SAMEA6060649	ERP117745	ERX3581439	ERR3585497	661674672	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585497/4834STDY7002880.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585497/4834STDY7002880.bam.bai	SRA
SAMEA6060650	ERP117745	ERX3581440	ERR3585498	660675857	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585498/4834STDY7002881.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585498/4834STDY7002881.bam.bai	SRA
SAMEA6060651	ERP117745	ERX3581441	ERR3585499	605027402	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585499/4834STDY7002882.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585499/4834STDY7002882.bam.bai	SRA
SAMEA6060652	ERP117745	ERX3581442	ERR3585500	647664150	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585500/4834STDY7002883.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585500/4834STDY7002883.bam.bai	SRA
SAMEA6060653	ERP117745	ERX3581443	ERR3585501	649688980	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585501/4834STDY7002885.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585501/4834STDY7002885.bam.bai	SRA
SAMEA6060654	ERP117745	ERX3581444	ERR3585502	642288359	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585502/4834STDY7002886.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585502/4834STDY7002886.bam.bai	SRA
SAMEA6060655	ERP117745	ERX3581445	ERR3585503	671731995	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585503/4834STDY7038750.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585503/4834STDY7038750.bam.bai	SRA
SAMEA6060656	ERP117745	ERX3581446	ERR3585504	649340879	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585504/4834STDY7038751.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585504/4834STDY7038751.bam.bai	SRA
SAMEA6060657	ERP117745	ERX3581447	ERR3585505	642628020	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585505/4834STDY7038752.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585505/4834STDY7038752.bam.bai	SRA
SAMEA6060658	ERP117745	ERX3581448	ERR3585506	650974952	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585506/4834STDY7038753.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585506/4834STDY7038753.bam.bai	SRA
SAMEA6060659	ERP117745	ERX3581449	ERR3585507	380459226	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585507/FCAImmP7179363.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585507/FCAImmP7179363.bam.bai	SRA
SAMEA6060660	ERP117745	ERX3581450	ERR3585508	376653323	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585508/FCAImmP7179364.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585508/FCAImmP7179364.bam.bai	SRA
SAMEA6060661	ERP117745	ERX3581451	ERR3585509	352170041	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585509/FCAImmP7198434.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585509/FCAImmP7198434.bam.bai	SRA
SAMEA6060662	ERP117745	ERX3581452	ERR3585510	353053394	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585510/FCAImmP7198628.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585510/FCAImmP7198628.bam.bai	SRA
SAMEA6060663	ERP117745	ERX3581453	ERR3585511	365003099	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585511/FCAImmP7198629.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585511/FCAImmP7198629.bam.bai	SRA
SAMEA6060664	ERP117745	ERX3581454	ERR3585512	360797617	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585512/FCAImmP7198630.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585512/FCAImmP7198630.bam.bai	SRA
SAMEA6060665	ERP117745	ERX3581455	ERR3585513	369470659	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585513/FCAImmP7198631.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585513/FCAImmP7198631.bam.bai	SRA
SAMEA6060666	ERP117745	ERX3581456	ERR3585514	358366078	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585514/FCAImmP7241240.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585514/FCAImmP7241240.bam.bai	SRA
SAMEA6060667	ERP117745	ERX3581457	ERR3585515	362613560	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585515/FCAImmP7241241.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585515/FCAImmP7241241.bam.bai	SRA
SAMEA6060668	ERP117745	ERX3581458	ERR3585516	304736816	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585516/FCAImmP7277552.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585516/FCAImmP7277552.bam.bai	SRA
SAMEA6060669	ERP117745	ERX3581459	ERR3585517	333353492	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585517/FCAImmP7277553.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585517/FCAImmP7277553.bam.bai	SRA
SAMEA6060670	ERP117745	ERX3581460	ERR3585518	327219641	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585518/FCAImmP7277560.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585518/FCAImmP7277560.bam.bai	SRA
SAMEA6060671	ERP117745	ERX3581461	ERR3585519	342442312	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585519/FCAImmP7277561.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585519/FCAImmP7277561.bam.bai	SRA
SAMEA6060674	ERP117745	ERX3581464	ERR3585522	354342913	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585522/FCAImmP7316886.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585522/FCAImmP7316886.bam.bai	SRA
SAMEA6060675	ERP117745	ERX3581465	ERR3585523	356365669	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585523/FCAImmP7316887.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585523/FCAImmP7316887.bam.bai	SRA
SAMEA6060676	ERP117745	ERX3581466	ERR3585524	367082485	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585524/FCAImmP7316888.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585524/FCAImmP7316888.bam.bai	SRA
SAMEA6060677	ERP117745	ERX3581467	ERR3585525	371523984	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585525/FCAImmP7316889.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585525/FCAImmP7316889.bam.bai	SRA
SAMEA6060678	ERP117745	ERX3581468	ERR3585526	358161766	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585526/FCAImmP7316890.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585526/FCAImmP7316890.bam.bai	SRA
SAMEA6060679	ERP117745	ERX3581469	ERR3585527	366746640	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585527/FCAImmP7316891.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585527/FCAImmP7316891.bam.bai	SRA
SAMEA6060680	ERP117745	ERX3581470	ERR3585528	350285008	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585528/FCAImmP7316892.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585528/FCAImmP7316892.bam.bai	SRA
SAMEA6060681	ERP117745	ERX3581471	ERR3585529	364975085	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585529/FCAImmP7316893.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585529/FCAImmP7316893.bam.bai	SRA
SAMEA6060682	ERP117745	ERX3581472	ERR3585530	367283804	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585530/FCAImmP7316894.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585530/FCAImmP7316894.bam.bai	SRA
SAMEA6060683	ERP117745	ERX3581473	ERR3585531	368573813	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585531/FCAImmP7316895.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585531/FCAImmP7316895.bam.bai	SRA
SAMEA6060684	ERP117745	ERX3581474	ERR3585532	358635695	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585532/FCAImmP7316896.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585532/FCAImmP7316896.bam.bai	SRA
SAMEA6060685	ERP117745	ERX3581475	ERR3585533	346812518	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585533/FCAImmP7316897.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585533/FCAImmP7316897.bam.bai	SRA
SAMEA6060686	ERP117745	ERX3581476	ERR3585534	312963416	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585534/FCAImmP7316900.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585534/FCAImmP7316900.bam.bai	SRA
SAMEA6060688	ERP117745	ERX3581478	ERR3585536	349542311	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585536/FCAImmP7352189.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585536/FCAImmP7352189.bam.bai	SRA
SAMEA6060689	ERP117745	ERX3581479	ERR3585537	348411738	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585537/FCAImmP7352190.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585537/FCAImmP7352190.bam.bai	SRA
SAMEA6060690	ERP117745	ERX3581480	ERR3585538	352595415	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585538/FCAImmP7352191.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585538/FCAImmP7352191.bam.bai	SRA
SAMEA6060691	ERP117745	ERX3581481	ERR3585539	352599162	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585539/FCAImmP7352192.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585539/FCAImmP7352192.bam.bai	SRA
SAMEA6060692	ERP117745	ERX3581482	ERR3585540	372144054	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585540/FCAImmP7352193.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585540/FCAImmP7352193.bam.bai	SRA
SAMEA6060693	ERP117745	ERX3581483	ERR3585541	370965916	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585541/FCAImmP7352194.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585541/FCAImmP7352194.bam.bai	SRA
SAMEA6060694	ERP117745	ERX3581484	ERR3585542	368161240	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585542/FCAImmP7352195.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585542/FCAImmP7352195.bam.bai	SRA
SAMEA6060696	ERP117745	ERX3581486	ERR3585544	372695517	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585544/FCAImmP7462237.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585544/FCAImmP7462237.bam.bai	SRA
SAMEA6060697	ERP117745	ERX3581487	ERR3585545	387483618	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585545/FCAImmP7462238.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585545/FCAImmP7462238.bam.bai	SRA
SAMEA6060698	ERP117745	ERX3581488	ERR3585546	382560642	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585546/FCAImmP7462239.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585546/FCAImmP7462239.bam.bai	SRA
SAMEA6060699	ERP117745	ERX3581489	ERR3585547	383297123	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585547/FCAImmP7462240.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585547/FCAImmP7462240.bam.bai	SRA
SAMEA6060700	ERP117745	ERX3581490	ERR3585548	374642504	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585548/FCAImmP7462241.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585548/FCAImmP7462241.bam.bai	SRA
SAMEA6060701	ERP117745	ERX3581491	ERR3585549	377122282	9606	Homo sapiens	Illumina HiSeq 4000	SINGLE	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585549/FCAImmP7462242.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR358/ERR3585549/FCAImmP7462242.bam.bai	SRA
