experimentId	experimentName	experimentDescription	experimentSource	experimentStatus	comment	tags	numberOfAnnotatedLibraries	protocol	typeOfMethod
SRP329970	A human breast transcriptome atlas	The breast is a dynamic organ whose response to physiological and pathophysiological conditions alters its disease susceptibility, yet the specific effects of these clinical variables on cell state remain poorly annotated. We present a unified, high-resolution breast atlas by integrating single-cell RNA-seq, mass cytometry, and cyclic immunofluorescence, encompassing a myriad of states. We define cell subtypes within the alveolar, hormone-sensing, and basal epithelial lineages, delineating associations of several subtypes with cancer risk factors, including age, parity, and BRCA2 germline mutation. Of particular interest is a subset of alveolar cells termed basal-luminal (BL) cells, which exhibit poor transcriptional lineage fidelity, accumulate with age, and carry a gene signature associated with basal-like breast cancer. We further utilize a medium-depletion approach to identify molecular factors regulating cell-subtype proportion in organoids. Together, these data are a rich resource to elucidate diverse mammary cell states. Overall design: A total of 16 breast samples were assayed (4 samples from reductive mammoplasties and 12 from prophylactic mastectomies).	SRA	total	GSE180878, PRJNA749859, PMID: 35617956 (all annotated in TB file but 13 commented due to non-normal conditions)	scRNA-seq	3 (13 commented)	10X Genomics	3'end
SRP251970	A single-cell survey of Drosophila blood	Drosophila blood cells, called the hemocytes, are composed of three distinct cell populations: plasmatocytes (PM), crystal cells (CC), and lamellocytes (LM). These cell types have been extensively characterized based on the expression of a few marker genes and cell morphologies, which are inadequate to classify the complete hemocyte repertoire. Further, intermediate states along the course of maturation of these cell types have been poorly characterized. Here, we used single-cell RNA sequencing (scRNA-seq) to map the Drosophila larval hemocytes across different inflammatory conditions. We identified all known cell types, resolved PMs into different states based on the expression of genes involved in cell cycle, antimicrobial response, and metabolism together with the detection of CC and LM intermediates. Further, we discovered rare cells within CC and LM populations that express the fibroblast growth factor (FGF) ligand branchless (bnl) and receptor breathless (btl), respectively. We demonstrate that both bnl and btl are required for mediating effective immune responses against parasitoid wasp eggs in vivo, highlighting a novel role for FGF signaling in inter-hemocyte crosstalk. Our scRNA-seq analysis reveals the diversity of hemocyte populations and provides a rich resource of gene expression profiles for a systems-level understanding of their functions. Overall design: inDrops, 10x Genomics Chromium, and Drop-seq based single-cell RNA-sequencing of ~20K hemocytes from the Drosophila larvae across different inflammatory conditions	SRA	partial	GSE146596,PRJNA611043,PMID: 32396065 (partial because wasp infected larvae and experimentally wounded larvae)	scRNA-seq	2 libraries	10X Genomics	3'end
SRP162698	A cell atlas of the adult Drosophila midgut	Drosophila guts were dissociated to single cells as previously described (Dutta et al., 2015) with a few modifications. Guts were dissected from 7-day old adult esg-sfGFP/+, pros- Gal4>RFP/+ females. After pulling out the gut, the crop and midgut/hindgut junction (where the Malpighian tubules branch out of the gut) and Malpighian tubules were removed. Five flies at a time were dissected and immediately transferred into cold PBS containing 1% BSA to avoid exposing the midgut tissue to room temperature for a long period of time. Once 40 guts were dissected, they were transferred to a dissection plate and chopped into small pieces using a razor blade. These small fragments were immediately transferred to an eppendorf tube containing 400 ul of 1 mg/ml elastase/PBS solution (Sigma E0258) and incubated on a shaker at 27 ̊C for 30 min. 1% of BSA in PBS (final concentration) was used to stop the digestion reaction and prevent cells from aggregating. The cell suspension was passed through 100 um and then a 40 um cell strainer and loaded on the top of Optiprep with density gradient 1.12 g/ml. Viable cells were isolated from the top layer of the sample after centrifugation at 800xg for 20 min. Cell viability and number were assessed by 0.4% trypan blue and hemocytometer. Overall design: inDrop and 10x single-cell RNA-sequencing of 10605 cells from the Drosophila midgut	SRA	partial	GSE120537,PRJNA493298,PMID: 31915294 (partial because inDrop (?) libraries with no barcodes)	scRNA-seq	4 (the 2 inDrop libraries are commented)	inDrop, 10X Genomics	3'end
SRP200614	Single-cell sequencing of enteroendocrine cells (EEs) in Drosophila midgut.	Enteroendocrine cells (EEs) in the intestinal epithelium have important endocrine functions, yet this cell lineage exhibits great local and regional variations that have hampered detailed characterization of EE subtypes. Through single cell RNA-sequencing analysis, combined with a collection of neuropeptide/receptor knock-in strains, here we provide a comprehensive analysis of cellular diversity, spatial distribution and transcription factor (TF) code of EEs in adult Drosophila midgut. We identify 10 major EE subtypes that totally produced 14 different classes of hormone peptides. Each EE on average co-produces 2-5 different classes of hormone peptides. Functional screen with subtype-enriched TFs suggests a combinatorial TF code that controls EE cell diversity, with class-specific TFs Mirr and Ptx1that respectively define two major classes of EEs, and regional TFs such as Esg, Drm, Exex and Fer1that further define regional EE identity. Our single-cell data should greatly facilitate Drosophila modeling of EE differentiation and function. Overall design: FACS sort EE cells using CG32547-KI-GAL4> uas-GFP line and perform 10X genomics single cell sequencing. Raw data was further processed by Seurat algorithm and EE subtypes were visualized by generating a t-distributed stochastic neighborhood embedding (t-SNE) plot.	SRA	total	GSE132274,PRJNA547484,PMID: 31851941	scRNA-seq	1 library	10X Genomics	3'end
ERP127795	Transcriptional landscape of porcine circulating immune cells	Bulk RNA-seq from immune sorted cells and single cell RNA sequencing data from porcine PBMCs were generated to determine the gene expression pattern of porcine immune cells. This study is part of the FAANG project, promoting rapid prepublication of data to support the research community. These data are released under Fort Lauderdale principles, as confirmed in the Toronto Statement (Toronto International Data Release Workshop. Birney et al. 2009. Pre-publication data sharing. Nature 461:168-170). Any use of this dataset must abide by the FAANG data sharing principles. Data producers reserve the right to make the first publication of a global analysis of this data. If you are unsure if you are allowed to publish on this dataset, please contact the FAANG Data Coordination Centre and FAANG consortium (email faang-dcc@ebi.ac.uk and cc faang@iastate.edu) to enquire. The full guidelines can be found at http://www.faang.org/data-share-principle.	EBI	partial	PRJEB43826, PMID: 34249103  (bulk libraries annotated in corresponding table)	scRNA-seq	7 libraries	10X Genomics	3'end
ERP129698	The Fly Cell Atlas: single-cell transcriptomes of the entire adult Drosophila - 10x dataset	Single-cell technologies have ushered in a new era for Drosophila research, allowing researchers to obtain transcriptomes for all stable cell types and dynamic cell states. Here we present the first release of the adult Fly Cell Atlas (FCA), which includes 580k cells from 15 individually dissected sexed tissues, as well as from the entire head and body. We annotated more than 250 distinct cell types across all tissues. Few cell types were uniquely detected in the entire head and body samples, suggesting high cell-type saturation. We provide an in-depth analysis of gene signatures and transcription factor combinations, as well as sexual dimorphism, across the whole animal. Finally, we studied cell type lineages that are shared between tissues, such as blood cells and muscle cells, allowing the retrieval of rare cell types and tissue- specific subtypes. This atlas provides a valuable resource for the entire Drosophila community as a reference to study genetic perturbations and disease models at single-cell resolution.	EBI	total	PRJEB45570, FCA, PMID: 35239393, (but commented Gal80ts trachea libraries and w1118 head libraries)	scRNA-seq	61 libraries	10X Genomics	3'end
SRP184201	Modular transcriptional programs separately define axon and dendrite connectivity	Patterns of synaptic connectivity are remarkably precise and complex. Single-cell RNA sequencing has revealed a vast transcriptional diversity of neurons. Nevertheless, a clear logic underlying the transcriptional control of neuronal connectivity has yet to emerge. Here, we focused on Drosophila T4/T5 neurons, a class of closely related neuronal subtypes with different wiring patterns. Eight subtypes of T4/T5 neurons are defined by combinations of two patterns of dendritic inputs and four patterns of axonal outputs. Single-cell profiling during development revealed distinct transcriptional programs defining each dendrite and axon wiring pattern. These programs were defined by the expression of a few transcription factors and different combinations of cell surface proteins. Gain and loss of function studies provide evidence for independent control of different wiring features. We propose that modular transcriptional programs for distinct wiring features are assembled in different combinations to generate diverse patterns of neuronal connectivity. Overall design: Single-cell profiling of FACS purified populations of Drosophila melanogaster T4/T5 neurons during pupal development (24h and 48h APF).	SRA	total	GSE126139,PRJNA521120,PMID: 31687928	scRNA-seq	2 libraries	10X Genomics	3'end
SRP269263	Single-cell transcriptomics uncovers human corneal limbal stem cells and its differentiation trajectory	Limbal stem cells (LSCs), known as corneal epithelial stem cells, are located at the basal epithelial layer of the corneal limbus and serve an important function in maintaining the homeostasis of the corneal epithelium. Several putative molecular markers of LSCs have been previously identified. However, the specificity of these markers remains largely controversial. To address this gap in the current understanding of LSCs, we performed a transcriptome profiling of heterogeneous corneal limbal basal cells using single-cell transcriptomics technology to identify LSCs and their exclusive markers. We isolated limbal basal cells from two young donors, constructed scRNA-seq libraries, generated RNA-sequencing data using the 10x Genomics platform, and then finally obtained the transcriptome of about 18,000 individual single-cells using Cell ranger (https://10xgenomics.com). Next, we performed quality control, filtering and data integration using Seurat package (https://satijalab.org/seurat), about 16,400 cells were retained for further downstream analysis such as dimensional reduction, unsupervised clustering, and Differentially expressed gene selection, trajectory analysis and visualization. We identified 11 unique clusters of cells assigned to a putative cell type based on published known biomarkers for differentiation, proliferation and putative epithelial stem cells. As a results, we found 2 Terminally Differentiated Cell (TDC), 3 Post-Mitotic Cell (PMC), 1 Transient Amplifying Cell (TAC), 2 Limbal Progenitor Cell (LPC), Putative Limbal Stem Cell (LSC) and 2 Melanocyte (MC) sub-cell type clusters. Furthermore, we confirmed the trajectory order of LSC differentiation for 9 clusters using Pseudotemporal and Functional PCA analysis. Lastly, we validated each assigned cell subtypes and determined their location in human corneal limbus tissue with 9 markers using RNAscope We were able to reveal the heterogeneity of corneal limbal basal epithelium by defining novel dynamic trajectories for cell types in a pseudotemporal manner. This approach allowed us to identify the distinct clusters of LSCs and progenitors with exclusively expressed markers, and might apply for translational research on regenerating a normal corneal epithelium and restoring vision. Overall design: We isolated limbal basal cells from two young donors, constructed scRNA-seq libraries, generated RNA-sequencing data using the 10x Genomics platform, and then finally obtained the transcriptome of about 18,000 individual single-cells using Cell ranger (https://10xgenomics.com). Next, we performed quality control, filtering and data integration and further downstream analysis such as dimensional reduction, unsupervised clustering, and Differentially expressed gene selection, trajectory analysis and visualization.	SRA	total	GSE153515,PRJNA642880,PMID: 34297801, in HCA	scRNA-seq	2 libraries	10X Genomics	3'end
ERP139439	The human gastrointestinal tract through space and time- Adult GEX	Using single-cell RNAseq (scRNAseq) and paired VDJ analysis, we create the first comprehensive cell atlas of the healthy developing, paediatric and adult human gut, including 347,980 cells from up to 10 distinct anatomical sites. We use this data to trace the cellular composition of the gut throughout life, define novel cell markers and cell-cell interactions. We find four neuronal cell populations in the developing enteric nervous system, with expression patterns indicative of irritable bowel syndrome and Hirschsprung’s disease, and identify key cell players and communication networks initiating lymphoid structure formation in early human development.	EBI	total	PRJEB54608, E-MTAB-9543, PMID: 34497389, part of Gut Cell Atlas	scRNA-seq	64 libraries	10X Genomics	5'end
ERP123883	The human gastrointestinal tract through space and time- Fetal GEX	Using single-cell RNAseq (scRNAseq) and paired VDJ analysis, we create the first comprehensive cell atlas of the healthy developing, paediatric and adult human gut, including 347,980 cells from up to 10 distinct anatomical sites. We use this data to trace the cellular composition of the gut throughout life, define novel cell markers and cell-cell interactions. We find four neuronal cell populations in the developing enteric nervous system, with expression patterns indicative of irritable bowel syndrome and Hirschsprung’s disease, and identify key cell players and communication networks initiating lymphoid structure formation in early human development.	EBI	total	PRJEB40265, PMID: 34497389, E-MTAB-9536, part of Gut Cell Atlas	scRNA-seq	21 libraries	10X Genomics	5'end
ERP118125	GEX: Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes	The human colon contains an extensively diverse microbial ecosystem and one of the most numerous communities of immune cells. Studies have highlighted dynamic crosstalk between immune cells and commensals. While studies have demonstrated increasing diversity of microbiota from stomach to stool, whether and how immune cell heterogeneity and microbiota diversity change across the colon is undefined. Furthermore, whether these changes are co-depended in the healthy colon is unknown. Here, tissue samples are collected from caecum, transverse colon, sigmoid colon and mLN of cadaveric donors by the Cambridge Biorepository of Translational Medicine (CBTM). We use single cell RNA sequencing (10X genomics) to assess the dynamics of immune cell populations across the colon and in matching lymph nodes. Associated microbiome 16S sequencing data is available.	EBI	partial	PRJEB35119, E-MTAB-8474, PMID: 32066951, in HCA, part of Gut Cell Atlas, 4 libraries annotated in ERP139439	scRNA-seq	4 libraries	10X Genomics	5'end
ERP115651	Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes	The human colon contains an extensively diverse microbial ecosystem and one of the most numerous communities of immune cells. Studies have highlighted dynamic crosstalk between immune cells and commensals. While studies have demonstrated increasing diversity of microbiota from stomach to stool, whether and how immune cell heterogeneity and microbiota diversity change across the colon is undefined. Furthermore, whether these changes are co-depended in the healthy colon is unknown. Here, tissue samples are collected from caecum, transverse colon, sigmoid colon and mLN of cadaveric donors by the Cambridge Biorepository of Translational Medicine (CBTM). We use single cell RNA sequencing (10X genomics) to assess the dynamics of immune cell populations across the colon and in matching lymph nodes. Associated microbiome 16S sequencing data is available.	EBI	total	PRJEB32912, E-MTAB-8007, PMID: 32066951, in HCA, part of Gut Cell Atlas	scRNA-seq	24 libraries	10X Genomics	3'end
ERP111594	Single cell RNA-seq of adult human neural retina	To comprehensively profile cell types in the human retina, we performed single cell RNA-sequencing on 20,009 cells obtained post-mortem from three donors and compiled a reference transcriptome atlas. Using unsupervised clustering analysis, we identified 18 transcriptionally distinct clusters representing all known retinal cells: rod photoreceptors, cone photoreceptors, Müller glia cells, bipolar cells, amacrine cells, retinal ganglion cells, horizontal cells, retinal astrocytes and microglia.	EBI	total	PRJEB29298, E-MTAB-7316, PMID: 31436334	scRNA-seq	5 libraries	10X Genomics	3'end
SRP135922	Single cell RNA-seq analysis on human endometrium across the natural menstrual cycle	To unbiasedly and systematically characterize endometrial transformation across the human menstrual cycle in preparation for embryo implantation, we analyzed the transcriptomic transformation of human endometrium at single cell resolution, dissecting multidimensional cellular heterogeneity of the tissue across the entire natural menstrual cycle. Overall design: We collected single cell transcriptome profile of endometrium biopsies sampled from 19 healthy and fertile females, at 4-27 days of their menstrual cycle. [10x dataset] - collected to validate main findings drawn from the original C1 dataset of this study. In this dataset, we collected additional data from 10 endometrial biopsies using the 10x Chromium system. Importantly, we collected both C1 and 10x data for two biopsies, one from mid-secretory phase and the other early-secretory. They served as anchors for a direct comparison between the two datasets, and were referred as ?anchor biopsies? in the manuscript of this study. Biopsies in the 10x dataset were obtained following the same protocol used for the C1 dataset, as described in the manuscript.	SRA	total	GSE111976,PRJNA438770,PMID: 34329437, in HCA	scRNA-seq	2158 libraries	C1 autoprep, 10X Genomics	Full-length, 3'end
SRP337049	scRNA sequencing analysis for human ureters and patient derived ureter oragnoid	Tissue engineering offers a promising treatment strategy for ureteral strictures. Successful ureter engineering is necessitated by detailed understanding of the tissue architecture, cellular heterogeneity, and signaling pathways underlying regeneration. We define and spatially map cell populations within the human ureter by using a combinatorial approach: single-cell RNA sequencing, 10X Visium spatial transciptomics, and immunofluorescence. The stromal and urothelial cell populations are analyzed in detail, and we infer potential cell-cell communication networks underpinning the bi-directional crosstalk between these compartments. Specifically, we analyze and experimentally validate the importance of Sonic Hedgehog (SHH) signaling pathway in adult stem cell maintenance. The SHH-expressing basal cells support organoid generation in vitro, and accurately predict the differentiation trajectory of basal stem cells, to terminally differentiated umbrella cells, in vivo. Our results highlight essential processes involved in adult ureter tissue homeostasis, and provide a toolkit for guiding ureter tissue engineering. Overall design: 10 normal human ureters each were subjected to RNA sequencing at single cell resolution on Novaseq using 10X Gemonics library preparation platform. Data was processed using Cellranger 4.0.0 and anayzed using Seurat v3.2.1 to characterize various cell types and understand finer details of the regenrative pathways in the ureter urothelium. This was further explored by analyzing single cell RNA sequencing data from human ureter derived organoid (generated in the same manner as the 10 ureter samples). Freshly processed and thawed tissue sample from the same human subject was used as control to further understand the urothelial regenerative pathways.	SRA	partial	GSE184111,PRJNA763198,PMID: 35914526, in HCA (one organoid library excluded)	scRNA-seq	11 libraries	10X Genomics	3'end
ERP136992	A spatial multi-omics atlas of the human lung reveals a novel immune cell survival niche	Multiple distinct cell types of the human lung and airways have been defined by single cell RNA sequencing (scRNAseq). Here we present a multi-omics spatial lung atlas to define novel cell types which we map back into the macro- and micro-anatomical tissue context to define functional tissue microenvironments. Firstly, we have generated single cell and nuclei RNA sequencing, VDJ-sequencing and Visium Spatial Transcriptomics data sets from 5 different locations of the human lung and airways. Secondly, we define additional cell types/states, as well as spatially map novel and known human airway cell types, such as adult lung chondrocytes, submucosal gland (SMG) duct cells, distinct pericyte and smooth muscle subtypes, immune-recruiting fibroblasts, peribronchial and perichondrial fibroblasts, peripheral nerve associated fibroblasts and Schwann cells. Finally, we define a survival niche for IgA-secreting plasma cells at the SMG, comprising the newly defined epithelial SMG-Duct cells, and B and T lineage immune cells. Using our transcriptomic data for cell-cell interaction analysis, we propose a signalling circuit that establishes and supports this niche. Overall, we provide a transcriptional and spatial lung atlas with multiple novel cell types that allows for the study of specific tissue microenvironments such as the newly defined gland-associated lymphoid niche (GALN).	EBI	partial	PRJEB52292, PMID: 36543915 (partial because of VDJ and libraries without barcodes), FASTQ in EBI not NCBI	Sn-scRNA-seq, scRNA-seq	75 libraries	10X Genomics	3'end, 5'end
