"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"	"tags"	"numberOfAnnotatedLibraries"	"protocol"	"typeOfMethod"
"#SRP128511"	"Single cell isoform sequencing from whole mouse tissue"	"Using the ScISOr-Seq method we sequence isoforms using long read sequencing method (like Pacific Biosciences, Oxford Nanopore, etc) and short read sequencing method (Illumina 3'seq) from barcoded single cells (using a microfluidic platform) from the whole mouse cerebellum. We also provide short read sequencing data from Microglial and Astrocytes isolated by 150 PE sequencing"	"SRA"	"partial"	"PRJNA428979"	"scRNA-seq"	"3 libraries"	"10X Genomics"	"3'end"
"#SRP149989"	"Dissecting the human liver cellular landscape by single cell RNA-seq reveals novel intrahepatic monocyte/ macrophage populations"	"Overall design: Primary liver samples from 5 patients were used for single cell RNA sequencing by 10X Genomics"	"SRA"	"total"	"GSE115469, PRJNA475114"	"scRNA-seq"	"5 libraries"	"10X Genomics"	"3'end"
"SRP066834"	"Human cerebral organoids recapitulate gene expression programs of fetal neocortex development."	"Overall design: 734 single-cell transcriptomes from human fetal neocortex or human cerebral organoids from multiple time points were analyzed in this study. All single cell samples were processed on the microfluidic Fluidigm C1 platform and contain 92 external RNA spike-ins. Fetal neocortex data were generated at 12 weeks post conception (chip 1: 81 cells; chip 2: 83 cells) and 13 weeks post conception (62 cells). Cerebral organoid data were generated from dissociated whole organoids derived from induced pluripotent stem cell line 409B2 (iPSC 409B2) at 33 days (40 cells), 35 days (68 cells), 37 days (71 cells), 41 days (74 cells), and 65 days (80 cells) after the start of embryoid body culture. Cerebral organoid data were also generated from microdissected cortical-like regions from H9 embryonic stem cell derived organoids at 53 days (region 1, 48 cells; region 2, 48 cells) or from iPSC 409B2 organoids at 58 days (region 3, 43 cells; region 4, 36 cells)."	"SRA"	"partial"	"GSE75140, PRJNA304502"	"scRNA-seq"	"226 libraries"	"SMARTer Ultra Low"	"Full-length"
"SRP050499"	"The Transcriptome and DNA Methylome Landscapes of Human Primordial Germ Cells"	"Overall design: In total, we analyzed the transcriptomes of 233 individual male and female human PGCs from 15 embryos at between 4 and 19 weeks of gestation as well as 86 neighboring somatic cells from 13 of these embryos using a single-cell RNA-Seq method that we developed. Furthermore, we analyzed the DNA methylomes of both male and female human gonadal PGCs as well as the neighboring somatic cells of eleven of these embryos at between 7 and 19 weeks of gestation using whole-genome bisulfite sequencing (WGBS). In total, we generated 1.3 billion 100 bp paired-end reads for transcriptome analyses and 4.1 billion 100 bp or 150 bp paired-end reads for DNA methylome analyses."	"SRA"	"partial"	"GSE63818, PRJNA269154"	"scRNA-seq"	"328 libraries"	"NEBNext® Ultra™ DNA Library Prep Kit for Illumina®"	"Full-length"
"#SRP144430"	"An internal nutrient sensor detects specific dietary amino acids and promotes food consumption in Drosophila"	"Overall design: As described previously (Yu et al., 2016), individual DH44+ cells (visualized by GFP experession) were harvested from dissected fly brain under a fluorescence microscope with a glass micropipette pulled from thick-walled borosilicate capillaries (BF120-69-10, Sutter Instruments). Individual cells were immediately transferred to lysate buffer and underwent reverse transcription and cDNA amplification (SMARTer Ultra Low RNA Kit for Sequencing, Clonetech). The amplified cDNA were sonicated to ~250 bp fragments by the Covaris S2 system and then subjected to end-repair, dA-tail, adaptor ligation, and 12 cycles of PCR amplification using the library preparation kit (NEBNext Ultra II DNA Library Prep Kit, NEB). The cDNA libraries were sequenced by Illumina Hiseq 2500 platform. The sequenced raw data were first pre-processed to remove low-quality reads, adaptor sequences and amplification primer. Reads were mapped to Drosophila genome and mapped reads were selected for further analysis. FPKM (Fragments Per Kilobase Of Exon Per Million Fragments Mapped) was used to quantify gene expression."	"SRA"	"total"	"GSE113990, PRJNA454804"	"scRNA-seq"	"8 libraries"	"SMARTer Ultra Low"	"Full-length"
"#SRP109266"	"Classifying Drosophila Olfactory Projection Neuron Subtypes by Single-cell RNA Sequencing"	"How a neuronal cell type is defined and how this relates to its transcriptome are still open questions. The Drosophila olfactory projection neurons (PNs) are among the bestcharacterized neuronal types: Different PN classes target dendrites to distinct olfactory glomeruli and PNs of the same class exhibit indistinguishable anatomical and physiological properties. Using single-cell RNA-sequencing, we comprehensively characterized the transcriptomes of 40 PN classes and unequivocally identified transcriptomes for 6 classes. We found a new lineage-specific transcription factor that instructs PN dendrite targeting. Transcriptomes of closely-related PN classes exhibit the largest difference during circuit assembly, but become indistinguishable in adults, suggesting that neuronal subtype diversity peaks during development. Genes encoding transcription factors and cell-surface molecules are the most differentially expressed, indicating their central roles in specifying neuronal identity. Finally, we show that PNs use highly redundant combinatorial molecular codes to distinguish subtypes, enabling robust specification of cell identity and circuit assembly. Overall design: Single-cell RNA-seq"	"SRA"	"partial"	"GSE100058, PRJNA390607"	"scRNA-seq"	"1837 libraries"	"SMART_seq2"	"Full-length"
"SRP131661"	"Tabula Muris: Transcriptomic characterization of 20 organs and tissues from Mus musculus at single cell resolution"	"We have created a resource of single cell transcriptome data from the model organism Mus musculus. Contributor: The Tabula Muris Consortium The full list of contributors to this dataset can be found in the corresponding publication. Overall design: Single cell RNA sequencing of single cells across 20 tissues of 3 month aged mice"	"SRA"	"total"	"GSE109774, PRJNA432002"	"scRNA-seq"	"46 libraries (28 SMART_seq2 and 28 10X Genomics)"	"SMART_seq2, 10X Genomics"	"Full-length and 3'end"
"#SRP108034"	"Single cell RNA-seq of mouse brain astrocyte transcriptomes"	"By analyzing 250 astrocyte single cell transcriptomes from adult brain, we provide gene expresssion profile of brain astrocyte Overall design: We chose adult mice about 3 months old and analysed single cells in the brain. We chose a methodology based on fluorescence-activated cell sorting (FACS) into 384-well plates followed by the SmartSeq2 methodology."	"SRA"	"total"	"GSE99058, PRJNA388076 (commented because all genotypes are SM22-Cre;Rosa26-stop-tdTomato)"	"scRNA-seq"	"250 libraries"	"SMART_seq2"	"Full-length"
"SRP106908"	"Single cell RNA-seq of mouse brain vascular transcriptomes"	"By analyzing thousands of vascular single cell transcriptomes from adult mouse brain, we provide molecular definitions of the principal vascular (endothelial and mural cells), and vascular-associated cell classes. Overall design: We used four different transgenic mouse reporter lines with fluorescent expression in different populations of vascular cells, Cldn5(BAC)eGFP mice that strongly labels brain endothelial cells, mice doubly positive for Pdgfrb(BAC)eGFP and NG2dsRed, in which brain vascular mural cells express both markers whereas each single marker are expressed also in other, non-overlapping cell types, and Pdgfra-H2BGFP that we found labeled a perivascular population of cells distinct from mural cells and astrocytes, in addition to the known labeling of cells of the oligendendrocyte lineage. We chose to focus our efforts to adult mice 10 to 19 weeks old in order to primarily define fully differentiated and quiescent vascular cells and we chose a methodology based on fluorescence-activated cell sorting (FACS) into 384-well plates followed by the SmartSeq2 methodology for the generation and sequencing of full length polyadenylated cDNAs"	"SRA"	"total"	"GSE98816, PRJNA386336"	"scRNA-seq"	"3186 libraries"	"SMART_seq2"	"Full-length"
"#SRP214806"	"Construction of A Human Cell Landscape by Single-cell mRNA-seq"	"We used single-cell RNA sequencing to determine the cell type composition of all major human organs and construct a basic scheme for the human cell landscape (HCL). We reveal a single-cell hierarchy for many tissues that have not been well characterized previously. We present a “single-cell HCL analysis'' pipeline that accurately defines human cell types and exemplify its utility in stem cell biology. Finally, we perform single-cell comparative analysis of the human and mouse cell atlases to reveal the conserved genetic networks in the mammalian system. Overall design: Microwell-seq analyses of 60 types of human tissues and supplementary datasets for the Mouse Cell Atlas data."	"SRA"	"total"	"GSE134355, PRJNA554845"	"scRNA-seq"	"22 libraries"		
"ERP117745"	"Human fetal liver, skin and kidney single cell transcriptome data"	"This is a droplet-based single cell transcriptome data set from 13 human fetal livers (6-18 PCW) and 8 skin and kidney samples (6-12 PCW). It includes 199,642 cells with a mean detected gene number of 3000."	"SRA"	"total"	"E-MTAB-7407, PRJEB34784"	"scRNA-seq"	"80 libraries (but only 69 with barcodes)"	"10X Genomics"	"3'end"
"ERP120466"	"Spatio-temporal immune zonation of the human kidney"	"Tissue-resident immune cells are important for organ homeostasis and defense. The epithelium may contribute to these functions directly, or via crosstalk with immune cells. We resolved the spatio-temporal immune topology of the human kidney with a scRNAseq dataset from 40,268 mature and 27,203 fetal kidney cells. Within the epithelial compartment there were zonated patterns of immune gene expression, with pelvic epithelial anti-microbial peptide expression in mature but not fetal kidneys. Tissue-resident immune cells were evident in both fetal and mature kidney, with post-natal acquisition of infection-defense capabilities. Epithelial-immune signalling orchestrated localization of macrophages and neutrophils to regions of the kidney susceptible to infection."	"HCA"	"total"	"PRJEB37165"	"scRNA-seq"	"22 libraries"	"10X Genomics"	"3'end"
"SRP201320"	"Droplet-based single-cell RNA-sequencing of mouse and naked mole-rat spleen and circulating immune cells, in natural conditions, following lipopolysaccharide (LPS) challenge, and saline control"	"Single-cell RNA-sequencing was performed in the mouse and naked mole-rat immune systems in order to map and compare their immune cell repertoirs and their cell-specific gene-expression responses to LPS challenge Overall design: Single-cell RNA-sequencing was obtained from: 1. 4 adult mouse and 4 adult naked mole-rat spleens in duplicate; 2. 4 adult mouse and 3 adult naked mole-rat circulating immune cells; 3. 2 adult mouse and 2 adult naked mole-rat spleens following LPS challenege in duplicate; 4. 2 adult mouse and 2 adult naked mole-rat spleens following saline administration in duplicate; 5. 2 adult mouse and 2 adult naked mole-rat circulating immune cells following LPS challenege in duplicate; 4. 2 adult mouse and 2 adult naked mole-rat circulating immune cells following saline administration in duplicate;"	"SRA"	"partial"	"GSE132642, PRJNA548723 (there are 4 bulk RNA-seq libraries annotated in the correspondant annotation file)"	"scRNA-seq"	"39 libraries"	"10X Genomics"	"3'end"
"SRP292544"	"Skeletal Stem Cell Diversity in Mouse Long Bones"	"We have used SmartSeq2 to sequence single phenotypic skeletal stem cell (SSCs) populations purified via FACS from adult mouse long bones. Two putative SSC populations were isolated based on their previously reported surface marker profiles. An osteochondrogenic SSC (ocSSC, CD45-CD31-Tie2-Ter119-CD51+6C3-Thy1-CD105-) and a perivascular SSC (pvSSC, CD45-CD31-Pdgfra+Sca1+CD24+) were investigated. Overall design: SmartSeq2 single cell RNA sequencing of flow cytometrically purified single mouse osteochondral and perivascular skeletal stem cells from adult mouse long bones."	"SRA"	"total"	"GSE161477"	"scRNA-seq"	"383 libraries"	"SMART_seq2"	"Full-length"
"ERP130174"	"The Fly Cell Atlas: single-cell transcriptomes of the entire adult Drosophila - Smartseq2 dataset"	"We have been performing single-cell RNAseq profiling for the entire adult Drosophila. Here we are providing raw data generated from the Smart-seq2 platform. They are from 37 384-well plates."	"SRA"	"partial"	"E-MTAB-10628, PRJEB45993 (partial because of some GFP-genotype sample, so far rejected)"	"Sn-scRNA-seq"	"7980 libraries"	"SMART_seq2"	"Full-length"
"SRP167225"	"Characterization of Transcriptomic Profile in Early Zebrafish PGCs by Single Cell Sequencing"	"Single cell RNA-seq was applied for studying the transcriptomic profile in early zebrafish PGCs(primordial germ cells) by choosing three time points during zebrafish embryonic development. The three time points were 6hpf(hours post fertilization, also called shield stage), 11hpf(also called 3-somite stage) and 24hpf(also called prim-5 stage)."	"SRA"	"total"	"GSE122208, PRJNA501843, PMID: 31412047"	"scRNA-seq"	"9 libraries"	"SMART_seq2"	"Full-length"
"SRP033209"	"High throughput quantitative whole transcriptome analysis of distal mouse lung epithelial cells from various developmental stages (E14.5, E16.5, E18.5 and adult)"	"We used microfluidic single cell RNA-seq on 198 individual mouse lung epithelial cells at 4 different stages throughout development to measure the transcriptional states which define the developmental and cellular hierarchy of the distal mouse lung epithelium. We classified 80 cells comprising the distal lung epithelium at E18.5 into distinct populations using an unbiased genome-wide approach that did not require a priori knowledge of the underlying cell types or prior purification of cell types. This “reverse tissue engineering” approach confirmed the basic outlines of the conventional model of cell type diversity in the distal lung and led to the discovery of a large number of novel transcriptional regulators and cell type markers that discriminate between the different populations. Moreover, we reconstructed the steps during maturation of bipotential progenitors into both alveolar lineages based on the presence of undifferentiated, differentiated as well as differentiation intermediate cells at the single time point E18.5. Finally, we followed Sftpc-positive cells throughout their lifecycle (E14.5, E16.5, E18.5, adult) and identified 7 gene sets that differentiate between the multipotential, bipotential, mature, as well as intermediate states of the AT2 lineage. Overall design: 198 single-cell transcriptomes from mouse lung epithelium were analyzed in total, two 200-cell bulk control samples as well as one no-cell control; All single cell and control samples contain 92 external RNA spike-ins; For time point E18.5, three individual experiments were performed using 3 different pregnant mice (3 biological replicates): Replicate 1 (pooled sibling lungs) yielded 20 single cell transcriptomes, replicate 2 (one single embryonic lung) yielded 34 single cell transcriptomes and replicate 3 (pooled siibling lungs) yielded 26 single cell transcriptomes; In addition, a 200-cell bulk control sample was prepared for E18.5 replicate 1 and E18.5 replicate 3 experiments; A no-cell control sample was generated for the E18.5 replicate 1 experiment; For time point E14.5, one experiment (one pregnant mouse, pooled sibling lungs) was performed yielding 45 single cell transcriptomes; For time point E16.5, one experiment (one pregnant mouse, pooled sibling lungs) was performed yielding 27 single cell transcriptomes; For the adult time point, one 107 day old mouse was used and transcriptomes of 46 single cells were obtained; All single cell samples were processed on the microfluidic platform, 200-cell-bulk and no-cell control samples were processed in microliter volumes in PCR tubes."	"SRA"	"partial"	"GSE52583, PRJNA229411, PMID: 24739965 (partial because of Sftpc-Cre-ERT2-rtta -/- tetO-HIST1H2BJ-GFP+/- samples)"	"scRNA-seq"	"154 libraries"	"Fluidigm C1 + SMARTer Ultra Low"	"Full-length"
"SRP242580"	"Single-cell RNA-seq of the mouse lymph node lymphatic vasculature: SMART-seq2"	"Lymph nodes (LNs) serve as hubs for the interaction and communication between tissue-derived and blood-derived immune cells. Here we analyzed mouse lymph node (LN) lymphatic endothelial cells (LEC) at single cell resolution. Clustering identifies five well-delineated subsets, including two medullary sinus subsets not recognized previously as distinct. Nearest neighbor alignments in trajectory space position the major subsets in a sequence that recapitulates known and suggests novel features of LN lymphatic organization, providing a transcriptional map of the lymphatic endothelial niches and of the transitions between them. Differences in gene expression reveal specialized programs for (1) subcapsular ceiling endothelial interactions with the capsule connective tissue and cells, (2) subcapsular floor regulation of lymph borne cell entry into the LN parenchyma and antigen presentation, and (3) medullary subset specialization for pathogen interactions and LN remodeling. LEC of the subcapsular sinus floor and medulla, which represent major sites of cell entry and exit from the LN parenchyma respectively, respond robustly to oxazolone inflammation challenge with enriched signaling pathways that converge on both innate and adaptive immune responses. Overall design: Female 20-week-old Prox1-GFP/C57BL/6J inguinal LNs were processed by the SMART-seq2 workflow for scRNA-seq."	"SRA"	"total"	"GSE143877, PRJNA601964, PMID: 32426372"	"scRNA-Seq"	"384 libraries"	"Smart-Seq2"	"Full-length"
"SRP276884"	"Single cell RNA seq analysis of postnatal mouse utricle"	"Undamaged utricular sensory epithelia from P2, P4, and P6 mice were isolated using FACS and underwent Smartseq-2 protocol for single cell RNA seq. Data was generated using Illumina NextSeq 500, paired end, 75-150bp reads with median depth of ~0.5 million reads per cell. Overall design: FACS sorted mouse utricle cells, Smart-seq2 protocol"	"SRA"	"partial"	"GSE155966, PRJNA656242, PMID: 34260939 (partial because trangenic genotypes and failed QC)"	"scRNA-Seq"	"619 libraries"	"Smart-Seq2"	"Full-length"
"ERP117745"	"Human fetal liver, skin and kidney single cell transcriptome data"	"This is a droplet-based single cell transcriptome data set from 13 human fetal livers (6-18 PCW) and 8 skin and kidney samples (6-12 PCW). It includes 199,642 cells with a mean detected gene number of 3000."	"SRA"	"partial"	"PMID: 31597962, PRJEB34784 (libraries without barcodes were excluded)"	"scRNA-Seq"	"69 libraries"	"10X Genomics"	"3'end"
"SRP108026"	"Single cell RNA-seq of mouse lung vascular transcriptomes"	"By analyzing about 1500 vascular single cell transcriptomes from adult mouse lung, we provide molecular definitions of the principal vascular (endothelial and mural cells), and vascular-associated cell classes. Overall design: We used different transgenic mouse reporter lines with fluorescent expression in different populations of vascular cells, Cldn5(BAC)eGFP mice that strongly labels lung endothelial cells, mice positive for Pdgfrb(BAC)eGFP and NG2dsRed. We chose to focus our efforts to adult mice 10 to 19 weeks old in order to primarily define fully differentiated and quiescent vascular cells and we chose a methodology based on fluorescence-activated cell sorting (FACS) into 384-well plates followed by the SmartSeq2 methodology for the generation and sequencing of full length polyadenylated cDNAs"	"SRA"	"total"	"GSE99235, PRJNA387955, PMID: 29443965"	"RNA-Seq"	"1504 libraries"	"Smart-Seq2"	"Full-length"
"ERP119519"	"Single cell RNA on hemocytes from wandering larvae of Drosophila melanogaster not infested and infested by Leptopilina boulardi"	"We aimed at characterizing the diverse hemocyte populations present in the hemolymph of the Drosophila larvae. The hemocytes were collected from wandering larvae infested by wasp (WI) or not infested (NI). The hemocytes were then sequenced using 10x genomics technology."	"SRA"	"partial"	"E-MTAB-8698, PRJEB36341, PMID:32162708 (1 wasp infected larva library excluded)"	"scRNA-Seq"	"1 library"	"10X Genomics"	"3' end"
