libraryId	experimentId	platform	uberonId	uberonName	cellTypeId	cellTypeName	markers	stageId	stageName	infoOrgan	infoCellType	infoStage	sampleTitle	sampleSource	sampleDescription	sampleCharacteristics	cellTypeAnnotationStatus	stageAnnotationStatus	stageBiologicalStatus	sex	strain	speciesId	comment	annotatorId	lastModificationDate	replicate	infoReplicate	SRSId	tags	protocol	protocolType	whiteList
ERX1226604	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N703_N503	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987359	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226605	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N703_N504	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987360	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226606	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N703_N505	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987361	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226607	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N703_N506	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987362	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226608	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N703_N507	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987363	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226609	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N703_N508	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987364	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226610	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N703_N517	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987365	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226611	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N704_N502	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987366	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226612	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N704_N503	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987367	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226613	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N704_N504	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987368	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226614	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N704_N505	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987369	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226615	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N704_N506	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987370	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226616	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N704_N508	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987371	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226617	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N705_N502	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987372	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226618	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N705_N503	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987373	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226619	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N705_N504	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987374	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226620	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N705_N505	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987375	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226621	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N705_N506	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987376	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226622	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N705_N517	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987377	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226623	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N706_N502	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987378	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226624	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N706_N505	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987379	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226625	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N706_N506	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987380	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226626	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N706_N507	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987381	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226627	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N706_N508	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987382	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226628	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N706_N517	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987383	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226629	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N707_N502	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987384	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226630	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N707_N504	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987385	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226631	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N707_N505	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987386	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226632	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N707_N506	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987387	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226633	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N707_N507	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987388	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226634	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N707_N508	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987389	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226635	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N707_N517	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987390	scRNA-seq	SmartSeq2 adapted	Full-length	NA
ERX1226636	ERP013381	Illumina HiSeq 2500	UBERON:0000922	embryo	CL:0000352	epiblast cell		MmusDv:0000014	Theiler stage 09	distal half of the embryo	epiblast cell	embryonic day 6.5	E-MTAB-4079:SLX.8351.N708_N502	NA	NA	NA	perfect match	perfect match	not documented	(Missing)	CD1	10090	PMID:27383781 and http://single-cell.clst.riken.jp/non_riken_data/Single_cell_samples1_list.php?pagesize=-1; At E6.5, caudal halves of embryos were dissected and dissociated to capture only epiblast cells, and cells were sorted only on the basis of viability.	ANN	2019-11-25	NA	NA	ERS987391	scRNA-seq	SmartSeq2 adapted	Full-length	NA
